Country,Policy,score
Afghanistan,H6_Facial Coverings,90
Afghanistan,H1_Public information campaigns,90
Afghanistan,H7_Vaccination policy,90
Afghanistan,C8_International travel controls,90
Afghanistan,C2_Workplace closing,70
Afghanistan,H3_Contact tracing,70
Afghanistan,C1_School closing,70
Afghanistan,E2_Debt/contract relief,70
Afghanistan,C3_Cancel public events,50
Afghanistan,C7_Restrictions on internal movement,50
Afghanistan,H8_Protection of elderly people,50
Afghanistan,H4_Emergency investment in healthcare,50
Afghanistan,C5_Close public transport,30
Afghanistan,E4_International support,30
Afghanistan,C4_Restrictions on gatherings,30
Afghanistan,H2_Testing policy,30
Afghanistan,C6_Stay at home requirements,10
Afghanistan,E1_Income support,10
Afghanistan,H5_Investment in vaccines,10
Afghanistan,E3_Fiscal measures,10
Argentina,H2_Testing policy,90
Argentina,E2_Debt/contract relief,90
Argentina,H1_Public information campaigns,90
Argentina,H7_Vaccination policy,90
Argentina,C8_International travel controls,70
Argentina,C5_Close public transport,70
Argentina,C2_Workplace closing,70
Argentina,H8_Protection of elderly people,70
Argentina,C1_School closing,50
Argentina,H6_Facial Coverings,50
Argentina,E3_Fiscal measures,50
Argentina,C4_Restrictions on gatherings,50
Argentina,H4_Emergency investment in healthcare,30
Argentina,C6_Stay at home requirements,30
Argentina,C7_Restrictions on internal movement,30
Argentina,E1_Income support,30
Argentina,E4_International support,10
Argentina,H3_Contact tracing,10
Argentina,H5_Investment in vaccines,10
Argentina,C3_Cancel public events,10
Bangladesh,H7_Vaccination policy,90
Bangladesh,H6_Facial Coverings,90
Bangladesh,C2_Workplace closing,90
Bangladesh,C5_Close public transport,90
Bangladesh,H3_Contact tracing,70
Bangladesh,C6_Stay at home requirements,70
Bangladesh,H2_Testing policy,70
Bangladesh,C8_International travel controls,70
Bangladesh,E2_Debt/contract relief,50
Bangladesh,E1_Income support,50
Bangladesh,E4_International support,50
Bangladesh,E3_Fiscal measures,50
Bangladesh,C3_Cancel public events,30
Bangladesh,C1_School closing,30
Bangladesh,C7_Restrictions on internal movement,30
Bangladesh,H4_Emergency investment in healthcare,30
Bangladesh,H1_Public information campaigns,10
Bangladesh,H5_Investment in vaccines,10
Bangladesh,C4_Restrictions on gatherings,10
Bangladesh,H8_Protection of elderly people,10
Belize,C8_International travel controls,90
Belize,C6_Stay at home requirements,90
Belize,C5_Close public transport,90
Belize,C4_Restrictions on gatherings,90
Belize,H2_Testing policy,70
Belize,C7_Restrictions on internal movement,70
Belize,H7_Vaccination policy,70
Belize,E2_Debt/contract relief,70
Belize,E4_International support,50
Belize,H3_Contact tracing,50
Belize,E3_Fiscal measures,50
Belize,C1_School closing,50
Belize,H1_Public information campaigns,30
Belize,C2_Workplace closing,30
Belize,E1_Income support,30
Belize,H4_Emergency investment in healthcare,30
