Policy,Category,Indicator,Unit,rank,score
C1_School closing,Demographics,Rural population (% of total population),proportion,1,0.04750106189553867
C1_School closing,Demographics,Secure Internet servers ,per 1 million people,2,0.045126439988186516
C1_School closing,Demographics,Age dependency ratio (% of working-age population),proportion,3,0.044989388305534825
C1_School closing,Demographics,Population density (people per sq. km of land area),proportion,4,0.04475480193095148
C1_School closing,Demographics,Fixed telephone subscriptions,number,5,0.042765843216283274
C1_School closing,Demographics,"People using at least basic drinking water services, urban (% of urban population)",proportion,6,0.04033447590796474
C1_School closing,Demographics,Fixed broadband subscriptions,number,7,0.03815451457495795
C1_School closing,Demographics,"Population, female (% of total population)",proportion,8,0.03297674981531883
C1_School closing,Demographics,Urban population (% of total population),total,9,0.031610824820549506
C1_School closing,Demographics,"People using safely managed drinking water services, rural (% of rural population)",proportion,10,0.0311977631235381
C1_School closing,Demographics,"Age dependency ratio, young (% of working-age population)",proportion,11,0.03008808689923591
C1_School closing,Demographics,People using at least basic drinking water services (% of population),proportion,12,0.02944883382197321
C1_School closing,Demographics,Individuals using the Internet,percent of population,13,0.028715107552595813
C1_School closing,Demographics,Population living in slums (% of urban population),proportion,14,0.028604443017524017
C1_School closing,Demographics,"People using safely managed drinking water services, urban (% of urban population)",proportion,15,0.028204190849241684
C1_School closing,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,16,0.027282095415256783
C1_School closing,Demographics,"People using at least basic drinking water services, rural (% of rural population)",proportion,17,0.027058438573714816
C1_School closing,Demographics,People using safely managed drinking water services (% of population),proportion,18,0.026964675363756355
C1_School closing,Demographics,"People with basic handwashing facilities including soap and water, urban (% of urban population)",proportion,19,0.02645162983251022
C1_School closing,Demographics,"People using at least basic sanitation services, rural (% of rural population)",proportion,20,0.025812488459947647
C1_School closing,Demographics,People using safely managed sanitation services (% of population),percent of population,21,0.025800485128535947
C1_School closing,Demographics,"Population, male (% of total population)",proportion,22,0.025625720899814807
C1_School closing,Demographics,"People with basic handwashing facilities including soap and water, rural (% of rural population)",proportion,23,0.025065805521372678
C1_School closing,Demographics,Fixed telephone (per 100 people),per 100 population,24,0.02502248369989751
C1_School closing,Demographics,Mobile cellular subscriptions,number,25,0.02433494384567378
C1_School closing,Demographics,Population in largest city,proportion,26,0.0233025762822894
C1_School closing,Demographics,"People using at least basic sanitation services, urban (% of urban population)",proportion,27,0.023266574156378447
C1_School closing,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,28,0.02084414802486381
C1_School closing,Demographics,Refugee population by country or territory of asylum,proportion,29,0.019232929406303053
C1_School closing,Demographics,"People using safely managed sanitation services, urban (% of urban population)",proportion,30,0.019124867814623647
C1_School closing,Demographics,"People using safely managed sanitation services, rural (% of rural population)",proportion,31,0.018484715832241833
C1_School closing,Demographics,"Population, total",total,32,0.016051657151457566
C1_School closing,Demographics,Internet users (per 100 people),per 100 population,33,0.015244971808501937
C1_School closing,Demographics,Population density,persons per square kilometer,34,0.014966009669220001
C1_School closing,Demographics,Mobile cellular (per 100 people),per 100 population,35,0.008041242820980728
C1_School closing,Demographics,"Net migration rate, per 1000 population",per thousand persons,36,0.007466230924661289
C1_School closing,Demographics,Population (% change),percent,37,0.005337177429749994
C1_School closing,Demographics,People using at least basic sanitation services (% of population),proportion,38,0.004745606218853229
C1_School closing,Demographics,Age dependency ratio,percent of total population,39,0.0
C2_Workplace closing,Demographics,Rural population (% of total population),proportion,1,0.04776230797089903
C2_Workplace closing,Demographics,Population density (people per sq. km of land area),proportion,2,0.04526252619271788
C2_Workplace closing,Demographics,People using at least basic drinking water services (% of population),proportion,3,0.04291937620126583
C2_Workplace closing,Demographics,Secure Internet servers ,per 1 million people,4,0.04224023772750977
C2_Workplace closing,Demographics,"Age dependency ratio, young (% of working-age population)",proportion,5,0.04079444163821941
C2_Workplace closing,Demographics,"People using at least basic sanitation services, rural (% of rural population)",proportion,6,0.03903327874812562
C2_Workplace closing,Demographics,"People using at least basic drinking water services, urban (% of urban population)",proportion,7,0.03834771474936659
C2_Workplace closing,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,8,0.03801208516125614
C2_Workplace closing,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,9,0.036880904205099756
C2_Workplace closing,Demographics,"Population, female (% of total population)",proportion,10,0.03607509038093483
C2_Workplace closing,Demographics,"People using safely managed drinking water services, rural (% of rural population)",proportion,11,0.03306612858436267
C2_Workplace closing,Demographics,Mobile cellular subscriptions,number,12,0.0319578215097679
C2_Workplace closing,Demographics,"Population, male (% of total population)",proportion,13,0.03082284815565132
C2_Workplace closing,Demographics,Age dependency ratio,percent of total population,14,0.030002844616556675
C2_Workplace closing,Demographics,Urban population (% of total population),total,15,0.029310246735645255
C2_Workplace closing,Demographics,Population living in slums (% of urban population),proportion,16,0.02823531702889081
C2_Workplace closing,Demographics,Age dependency ratio (% of working-age population),proportion,17,0.027652663129256166
C2_Workplace closing,Demographics,Individuals using the Internet,percent of population,18,0.025713034059621307
C2_Workplace closing,Demographics,"People using safely managed sanitation services, rural (% of rural population)",proportion,19,0.025570108094064382
C2_Workplace closing,Demographics,Population in largest city,proportion,20,0.02488949944383375
C2_Workplace closing,Demographics,Fixed broadband subscriptions,number,21,0.024781851427072864
C2_Workplace closing,Demographics,"People using at least basic drinking water services, rural (% of rural population)",proportion,22,0.0246510940936061
C2_Workplace closing,Demographics,People using at least basic sanitation services (% of population),proportion,23,0.023666484717711784
C2_Workplace closing,Demographics,People using safely managed drinking water services (% of population),proportion,24,0.021973614194119903
C2_Workplace closing,Demographics,"People using at least basic sanitation services, urban (% of urban population)",proportion,25,0.02172856689375455
C2_Workplace closing,Demographics,Refugee population by country or territory of asylum,proportion,26,0.021274189313859528
C2_Workplace closing,Demographics,"People using safely managed sanitation services, urban (% of urban population)",proportion,27,0.021216040328284863
C2_Workplace closing,Demographics,"People with basic handwashing facilities including soap and water, urban (% of urban population)",proportion,28,0.02051068741789079
C2_Workplace closing,Demographics,Fixed telephone subscriptions,number,29,0.018569704554717216
C2_Workplace closing,Demographics,Fixed telephone (per 100 people),per 100 population,30,0.017722802079930152
C2_Workplace closing,Demographics,"Population, total",total,31,0.01747389802918583
C2_Workplace closing,Demographics,Population (% change),percent,32,0.017196642163368737
C2_Workplace closing,Demographics,Internet users (per 100 people),per 100 population,33,0.016984718387715547
C2_Workplace closing,Demographics,Population density,persons per square kilometer,34,0.012600668257425302
C2_Workplace closing,Demographics,"People with basic handwashing facilities including soap and water, rural (% of rural population)",proportion,35,0.009910704033447893
C2_Workplace closing,Demographics,Mobile cellular (per 100 people),per 100 population,36,0.008404621401150048
C2_Workplace closing,Demographics,People using safely managed sanitation services (% of population),percent of population,37,0.003945183104191856
C2_Workplace closing,Demographics,"Net migration rate, per 1000 population",per thousand persons,38,0.002840055269521888
C2_Workplace closing,Demographics,"People using safely managed drinking water services, urban (% of urban population)",proportion,39,0.0
C3_Cancel public events,Demographics,Rural population (% of total population),proportion,1,0.051129171710834184
