Policy,Category,Indicator,Unit,rank,score
C1_School closing,Governance,Serious assault (rate),rate,1,0.020623910531115505
C1_School closing,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,2,0.020430248905253506
C1_School closing,Social issues ,Proportion of women in managerial positions (%),percent,3,0.016464983357622264
C1_School closing,Environment,Electricity production from oil sources,percent of total,4,0.015882048531240953
C1_School closing,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,5,0.015849096058276994
C1_School closing,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,6,0.015398587363559254
C1_School closing,Economics,Expenditure on education (% of GDP),percent,7,0.01518795825750256
C1_School closing,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,8,0.014368828168776908
C1_School closing,Demographics,Urban population (% of total population),total,9,0.01435566927062022
C1_School closing,Health,Prevalence of Hypertensive heart disease,percent,10,0.0142367292538279
C1_School closing,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,11,0.013957944616367178
C1_School closing,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,12,0.01391688928565781
C1_School closing,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",13,0.013839375918806261
C1_School closing,Environment,"Electricity production from oil, gas and coal sources",percent of total,14,0.013816057691580879
C1_School closing,Governance,Human Development Index,index,15,0.013262407264130497
C1_School closing,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",16,0.013098741070286848
C1_School closing,Environment,Combustible renewables and waste,percent of total energy,17,0.013084110163858237
C1_School closing,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,18,0.01298664944254334
C1_School closing,Economics,"Lending interest rates, percent per annum",percent per annum,19,0.012896368140418453
C1_School closing,Demographics,Secure Internet servers ,per 1 million people,20,0.01278784275110564
C1_School closing,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",21,0.012623870705578105
C1_School closing,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,22,0.012522426556387333
C1_School closing,Economics,Volume of exports,percent change,23,0.012423320285442662
C1_School closing,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,24,0.012374930926025774
C1_School closing,Economics,Volume of imports,percent change,25,0.012290095615624873
C1_School closing,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,26,0.01227311823240752
C1_School closing,Environment,Fossil fuel energy consumption,percent of total,27,0.012146538417542853
C1_School closing,Economics,"International tourism, receipts",US Dollar,28,0.012064295818799382
C1_School closing,Governance,Control of corruption estimate,score,29,0.011779795330344707
C1_School closing,Demographics,Individuals using the Internet,percent of population,30,0.011766817633832546
C1_School closing,Social issues ,Press freedom score,score,31,0.011762733046118119
C1_School closing,Social issues ,Progression to secondary school (%),proportion,32,0.011701627046244056
C1_School closing,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",33,0.01159240997268645
C1_School closing,Governance,Corruption Perceptions Index,score,34,0.011467367594670817
C1_School closing,Demographics,Rural population (% of total population),proportion,35,0.011428552007460291
C1_School closing,Demographics,Mobile cellular subscriptions,number,36,0.011321090344776187
C1_School closing,Demographics,Fixed broadband subscriptions,number,37,0.01129268591590844
C1_School closing,Environment,CO2 emissions (metric tons per capita),metric tons per capita,38,0.011169707125166375
C1_School closing,Health,Prevalence of Diabetes,percent,39,0.011143106323629052
C1_School closing,Health,Prevalence of Respiratory infections and tuberculosis,percent,40,0.011020050151989718
C1_School closing,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,41,0.011011104843010896
C1_School closing,Demographics,Fixed telephone subscriptions,number,42,0.010908229768105215
C1_School closing,Demographics,"Population, total",total,43,0.010898885678851965
C1_School closing,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,44,0.010714181049927248
C1_School closing,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,45,0.010672664972011971
C1_School closing,Environment,Electric power consumption ,kWh per capita,46,0.010664663643278647
C1_School closing,Health,"Nurses and midwives (per 1,000 people)",Ones,47,0.010539531243924167
C1_School closing,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),48,0.010154981850210633
C1_School closing,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,49,0.010068887413012496
C1_School closing,Health,Prevalence of chronic kidney disease,percent,50,0.010026968332940785
C1_School closing,Health,Prevalence of obesity,percent,51,0.010022922053206028
C1_School closing,Social issues ,Coverage of social safety net programs (% of population),proportion,52,0.009901731410998316
C1_School closing,Health,Prevalence of anxiety disorders,percent,53,0.009791776850776479
C1_School closing,Health,Prevalence of down syndrome,percent,54,0.009622241194449528
C1_School closing,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,55,0.009616603205044356
C1_School closing,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,56,0.00955056631558913
C1_School closing,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,57,0.00934502235856807
C1_School closing,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,58,0.009229607294949978
C1_School closing,Health,Prevalence of total cancers,percent,59,0.009147398973098688
C1_School closing,Health,Prevalence of Depressive disorders,percent,60,0.009111716098665634
C1_School closing,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,61,0.008973317813034386
C1_School closing,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,62,0.00890855757338469
C1_School closing,Social issues ,Gini index (World Bank estimate),index ,63,0.008846076123824861
C1_School closing,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,64,0.008732782200955806
C1_School closing,Health,"Physicians (per 1,000 people)",Ones,65,0.008561270135473358
C1_School closing,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",66,0.00854726046924862
C1_School closing,Social issues ,Net migration,net total / data are 5 year estimates,67,0.008494671850807026
C1_School closing,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,68,0.008449816672589957
C1_School closing,Health,"Immunization, measles (% of children ages 12-23 months)",percent,69,0.00840090266186999
C1_School closing,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,70,0.008303374088710899
C1_School closing,Economics,Starting a Business (Score),Score,71,0.008098479092183936
C1_School closing,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,72,0.007974295193125869
C1_School closing,Economics,Growth rates of household expenditure or income per capita (%),percent,73,0.007677573188069366
C1_School closing,Economics,"Foreign direct investment, net",US Dollar,74,0.007669562121302877
C1_School closing,Economics,Expenditure on social protection (% of GDP),percent,75,0.007661304378120982
C1_School closing,Economics,Expenditure on health (% of GDP),percent,76,0.007637978070022665
C1_School closing,Economics,"Central government debt, total",percent of GDP,77,0.007558450076446974
C1_School closing,Economics,Stock market capitalization (US$ million),percent,78,0.0075521585527843545
C1_School closing,Demographics,Refugee population by country or territory of asylum,proportion,79,0.007319729112406149
C1_School closing,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,80,0.007074309446508807
C1_School closing,Demographics,People using safely managed drinking water services (% of population),proportion,81,0.006583223044374728
C1_School closing,Demographics,People using at least basic sanitation services (% of population),proportion,82,0.0065015677966964594
C1_School closing,Demographics,"Net migration rate, per 1000 population",per thousand persons,83,0.0064990052615436986
C1_School closing,Demographics,Mobile cellular (per 100 people),per 100 population,84,0.0064036434731851374
C1_School closing,Economics,Stock market capitalization (US$ million),US Dollar,85,0.006247176102608028
C1_School closing,Economics,"Trade, total as % of GDP",percent,86,0.0062385897619467254
C1_School closing,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,87,0.005934591902778834
C1_School closing,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,88,0.005857748572105491
C1_School closing,Health,Hospital beds (per 10 000 population),Ones,89,0.0057492278831485924
C1_School closing,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",90,0.0057301035828047475
C1_School closing,Governance,Economic Freedom Score (Index),score,91,0.005614549930605959
C1_School closing,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,92,0.005391615439585148
C1_School closing,Environment,Renewable energy consumption ,percent of total final energy consumption,93,0.005196588778568532
C1_School closing,Demographics,Internet users (per 100 people),per 100 population,94,0.0050349266531461035
C1_School closing,Demographics,Age dependency ratio (% of working-age population),proportion,95,0.00500252842274268
C1_School closing,Economics,Unemployment rate (%) - Annual,percent,96,0.0038299806433269748
C1_School closing,Environment,"Energy imports, net ",percent of energy use,97,0.0037961514323022146
C1_School closing,Demographics,Fixed telephone (per 100 people),per 100 population,98,0.0031830359115166875
C1_School closing,Environment,Electricity production from nuclear sources ,percent of total,99,0.0023140629597623455
C1_School closing,Environment,Electricity production from coal sources ,percent of total,100,0.0013202376269498299
C1_School closing,Environment,CO2 emissions (kt),kt,101,0.000792991839848605
C1_School closing,Environment,Access to electricity ,percent of population,102,0.0007279145157745491
C1_School closing,Demographics,Age dependency ratio,percent of total population,103,0.0
C2_Workplace closing,Governance,Serious assault (rate),rate,1,0.019007942444179575
C2_Workplace closing,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,2,0.01866536510296792
C2_Workplace closing,Social issues ,Proportion of women in managerial positions (%),percent,3,0.01836813430323619
C2_Workplace closing,Demographics,Urban population (% of total population),total,4,0.017921901031444608
C2_Workplace closing,Economics,Volume of imports,percent change,5,0.017811371986388613
C2_Workplace closing,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,6,0.016762445285629944
C2_Workplace closing,Health,Prevalence of Respiratory infections and tuberculosis,percent,7,0.016524259965026874
C2_Workplace closing,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,8,0.016292109752892706
C2_Workplace closing,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,9,0.015902182435621054
C2_Workplace closing,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",10,0.015224775445802754
C2_Workplace closing,Environment,"Energy imports, net ",percent of energy use,11,0.015144565381119997
C2_Workplace closing,Demographics,Fixed telephone subscriptions,number,12,0.014922772670127562
C2_Workplace closing,Health,Prevalence of Hypertensive heart disease,percent,13,0.01473374382962003
C2_Workplace closing,Governance,Corruption Perceptions Index,score,14,0.014497417199937603
C2_Workplace closing,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",15,0.01441805709934374
C2_Workplace closing,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),16,0.014345356533553627
C2_Workplace closing,Health,Prevalence of obesity,percent,17,0.013940978530840475
C2_Workplace closing,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",18,0.013841470359972106
C2_Workplace closing,Environment,Electricity production from coal sources ,percent of total,19,0.013833897891876397
C2_Workplace closing,Environment,Electricity production from oil sources,percent of total,20,0.013703108672047711
C2_Workplace closing,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,21,0.01364828890882849
C2_Workplace closing,Health,"Physicians (per 1,000 people)",Ones,22,0.013616417038131544
C2_Workplace closing,Demographics,Refugee population by country or territory of asylum,proportion,23,0.01340260560437325
C2_Workplace closing,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,24,0.013300168163650303
C2_Workplace closing,Economics,Expenditure on health (% of GDP),percent,25,0.013138022497930137
C2_Workplace closing,Economics,"Lending interest rates, percent per annum",percent per annum,26,0.013034995498806996
C2_Workplace closing,Health,Prevalence of down syndrome,percent,27,0.012778892493542238
C2_Workplace closing,Demographics,People using safely managed drinking water services (% of population),proportion,28,0.01262925299665489
C2_Workplace closing,Economics,"International tourism, receipts",US Dollar,29,0.012453991143344213
C2_Workplace closing,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,30,0.012430379463453161
C2_Workplace closing,Environment,Combustible renewables and waste,percent of total energy,31,0.01238510297204153
C2_Workplace closing,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,32,0.01233768127117525
C2_Workplace closing,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,33,0.012230549363745713
C2_Workplace closing,Environment,CO2 emissions (metric tons per capita),metric tons per capita,34,0.012202172332974654
C2_Workplace closing,Demographics,"Net migration rate, per 1000 population",per thousand persons,35,0.012086356696451923
C2_Workplace closing,Economics,"Foreign direct investment, net",US Dollar,36,0.012047164388985567
C2_Workplace closing,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,37,0.011844462383050479
C2_Workplace closing,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,38,0.011584823760249902
C2_Workplace closing,Social issues ,Progression to secondary school (%),proportion,39,0.011316549021463203
C2_Workplace closing,Social issues ,Net migration,net total / data are 5 year estimates,40,0.011302462669723417
C2_Workplace closing,Health,Prevalence of chronic kidney disease,percent,41,0.010836015290964878
C2_Workplace closing,Governance,Human Development Index,index,42,0.01081934478806665
C2_Workplace closing,Environment,Electric power consumption ,kWh per capita,43,0.010810980069664328
C2_Workplace closing,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,44,0.0105903439330007
C2_Workplace closing,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,45,0.01055873490708446
