Policy,score
C8_International travel controls,90
C1_School closing,90
H8_Protection of elderly people,90
H3_Contact tracing,90
C3_Cancel public events,70
H6_Facial Coverings,70
C4_Restrictions on gatherings,70
C5_Close public transport,70
H2_Testing policy,50
E2_Debt/contract relief,50
C6_Stay at home requirements,50
E1_Income support,50
C2_Workplace closing,30
H7_Vaccination policy,30
C7_Restrictions on internal movement,30
H1_Public information campaigns,30
E3_Fiscal measures,10
H4_Emergency investment in healthcare,10
E4_International support,10
H5_Investment in vaccines,10
