Policy,score
H6_Facial Coverings,0.3100940399886634
C8_International travel controls,0.14469156905405917
C1_School closing,0.11743875139923156
H2_Testing policy,0.08903107591968461
H8_Protection of elderly people,0.05559591269183176
H3_Contact tracing,0.047677512809033526
C2_Workplace closing,0.04275692936984517
E1_Income support,0.040288876865667726
C4_Restrictions on gatherings,0.0324700120976852
E2_Debt/contract relief,0.024924118183869713
C7_Restrictions on internal movement,0.024143172941045964
C6_Stay at home requirements,0.023882119399116154
C5_Close public transport,0.020177271760177633
H7_Vaccination policy,0.008740347017212295
C3_Cancel public events,0.008342916570466583
H1_Public information campaigns,0.0065191827523466625
H4_Emergency investment in healthcare,0.002117707644588326
E4_International support,0.0005692661243759056
E3_Fiscal measures,0.0004755421748150857
H5_Investment in vaccines,6.367523628354457e-05
