Policy,score
C8_International travel controls,0.19662262186221172
C1_School closing,0.13575909101581793
H8_Protection of elderly people,0.11530989749409495
H3_Contact tracing,0.10513597938383558
C3_Cancel public events,0.09272640817274433
H6_Facial Coverings,0.0875317655210351
C4_Restrictions on gatherings,0.06729355100814252
C5_Close public transport,0.03017003115253639
H2_Testing policy,0.02850265452781652
E2_Debt/contract relief,0.027694805243376464
C6_Stay at home requirements,0.024103376584189647
E1_Income support,0.02337582216958118
C2_Workplace closing,0.02323624422008455
H7_Vaccination policy,0.017616865180078704
C7_Restrictions on internal movement,0.016509800738707576
H1_Public information campaigns,0.0064693947270030566
E3_Fiscal measures,0.0012933557620211124
H4_Emergency investment in healthcare,0.0005845188129612724
E4_International support,6.135368261152383e-05
H5_Investment in vaccines,2.46274114995411e-06
