Country,Policy,score
Afghanistan,H6_Facial Coverings,0.8486635615519319
Afghanistan,H1_Public information campaigns,0.10262953485091802
Afghanistan,C8_International travel controls,0.030234461641544565
Afghanistan,H7_Vaccination policy,0.009926126163796853
Afghanistan,C2_Workplace closing,0.0071225080960680065
Afghanistan,E2_Debt/contract relief,0.0006523539797591296
Afghanistan,H3_Contact tracing,0.00027609517785221453
Afghanistan,C1_School closing,0.00025280284108869446
Afghanistan,C5_Close public transport,0.0001242857429581188
Afghanistan,C7_Restrictions on internal movement,5.034129072186997e-05
Afghanistan,H8_Protection of elderly people,3.103695804134517e-05
Afghanistan,H4_Emergency investment in healthcare,1.532633329464731e-05
Afghanistan,C3_Cancel public events,1.39291858547513e-05
Afghanistan,C4_Restrictions on gatherings,4.891161420872162e-06
Afghanistan,H5_Investment in vaccines,2.7427568399522167e-06
Afghanistan,E4_International support,2.267909151281391e-09
Afghanistan,E1_Income support,0.0
Afghanistan,H2_Testing policy,0.0
Afghanistan,C6_Stay at home requirements,0.0
Afghanistan,E3_Fiscal measures,0.0
Argentina,H2_Testing policy,0.7411190860150342
Argentina,E2_Debt/contract relief,0.1108375098578123
Argentina,H1_Public information campaigns,0.07276353299353226
Argentina,H7_Vaccination policy,0.02249462609975577
Argentina,C8_International travel controls,0.019730183829437243
Argentina,C7_Restrictions on internal movement,0.013155604669962356
Argentina,C2_Workplace closing,0.009732415870750024
Argentina,H8_Protection of elderly people,0.007608781576928497
Argentina,C1_School closing,0.0018416204643636664
Argentina,E1_Income support,0.0006683161981416075
Argentina,C4_Restrictions on gatherings,2.4287260789966272e-05
Argentina,H4_Emergency investment in healthcare,1.54909680327771e-05
Argentina,H6_Facial Coverings,8.47694159480271e-06
Argentina,C6_Stay at home requirements,6.606210149116891e-08
Argentina,E3_Fiscal measures,1.191652141979425e-09
Argentina,H3_Contact tracing,1.1070141303233501e-13
Argentina,E4_International support,0.0
Argentina,C5_Close public transport,0.0
Argentina,H5_Investment in vaccines,0.0
Argentina,C3_Cancel public events,0.0
Bangladesh,H7_Vaccination policy,0.4511421445948499
Bangladesh,H1_Public information campaigns,0.23966686764214387
Bangladesh,H6_Facial Coverings,0.19981900339304132
