Indicator,Unit,Correlation
Days required for business start up,days,-0.406213164922037
Production index: Agriculture,index,-0.34291606939261765
Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,0.3295134388406681
Expenditure on social protection (% of GDP),percent,-0.2920395875955926
Control of corruption estimate,score,0.2910043653091153
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,-0.284385419054944
Age dependency ratio,percent of total population,-0.26653192414782156
Expenditure on health (% of GDP),percent,-0.24544861393068737
"International tourism, receipts",US Dollar,-0.24085201754698812
Expenditure on education (% of GDP),percent,-0.23334666666858567
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,-0.1990232137924859
Balance on goods (% of GDP),percent,0.19879641744800167
Interest rate on time deposits of 12 months,percent per annum,-0.1800872706885324
"Foreign direct investment, net",US Dollar,0.1796753928465343
Individuals using the Internet,percent of population,0.17586656991524324
Fixed broadband subscriptions,per 100 people,0.17548200851136667
"Immunization, DPT (% of children ages 12-23 months)",percent,-0.1696953609330047
Government effectiveness estimate,score,0.16787752125010874
Interest rate on time deposits of 6 months,percent per annum,-0.14871249983352947
Fixed telephone subscriptions,number,0.1451152698340567
"Incidence of tuberculosis (per 100,000 people)",Cases,-0.1448672250541338
"Age dependency ratio, old (% of working-age population)",proportion,0.13924982555763876
Interest rate on time deposits of 6 months,percent,0.13481297934559072
Interest rate on time deposits of 12 months,percent,0.13250952135443572
Fixed broadband subscriptions,number,0.12309032185875823
"General government net lending/borrowing, percent of fiscal year GDP",percent,-0.10186383939283569
"Age dependency ratio, young (% of working-age population)",proportion,-0.09368851084140081
Interest rate on savings deposits,percent,-0.09326897717947208
Interest rate on loans and discounts - private,percent per annum,-0.08770194021448452
Interest rate on loans and discounts - public,percent per annum,-0.08770194021448444
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",proportion,0.08523259304539647
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",proportion,0.08523259304539636
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",proportion,0.08523259304539636
Interest rate on loans and discounts,percent per annum,0.08510947408732682
General government net lending/borrowing,percent of GDP,-0.06695217778804403
"Immunization, measles (% of children ages 12-23 months)",percent,-0.05836729948838318
Doctors per 1 000 inhabitants.,Ones,0.054924412816989704
Hospital beds (per 10 000 population),Ones,-0.033842298250062644
Interest rate on savings deposits,percent per annum,-0.02086216574026355
Age dependency ratio (% of working-age population),proportion,-0.006577706052995008
Interest rate on demand deposits,percent per annum,
Interest rate on loans and discounts - long-term,percent per annum,
Interest rate on loans and discounts - short-term,percent per annum,
Interest rate on time deposits of over 12 months,percent,
Interest rate on time deposits of over 12 months,percent per annum,
"Primary completion rate, female (% of relevant age group)",proportion,-0.3426621153269262
"Primary completion rate, total (% of relevant age group)",proportion,-0.3344818075117771
"Primary completion rate, male (% of relevant age group)",proportion,-0.3258252363714587
Voice and accountability estimate,score,0.319019568635881
Urban population (% of total population),total,0.2897918657611751
Rural population (% of total population),proportion,-0.28979186576117505
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,-0.27648055733703397
"Population ages 35-39, female (% of female population)",proportion,-0.26405353577103224
Population aged 65+ years (% of total population),percent of total population,-0.250947428780738
Population aged 0-14 years (% of total population),percent of total population,-0.24710259905571488
Urban population growth (annual %),total,-0.2344096333255295
"Labour force participation rate (Male) - Youth, adults: 15-64",percent,-0.23362335761785882
Prevalence of Respiratory infections and tuberculosis,percent,-0.23343202875677072
Starting a Business (Rank),rank,-0.23274171020276313
Population aged 15-64 years (% of total population),percent of total population,-0.2308270337561058
"Trade, total as % of GDP",percent,-0.23040115782401874
Prevalence of down syndrome,percent,0.22596037511991907
Rule of law estimate ,score,0.2255985456043189
Proportion of Unemployment in Non-agricultural Employment (total),percent,0.22364440213669007
Secure Internet servers ,per 1 million people,0.22291471415274483
"Labour force participation rate (Total) - Youth, adults: 15-64",percent,-0.2193119153517641
Prevalence of total cancers,percent,0.21074129912721132
"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,0.20949847331177773
"Population ages 40-44, male (% of male population)",proportion,0.20948532566992517
"Population ages 35-39, male (% of male population)",proportion,-0.2091618535562037
Population in urban agglomerations of more than 1 million (% of total population),proportion,0.202104121424735
Production index: Mining,index,0.19766512065125239
"Population ages 65-69, male (% of male population)",proportion,0.19216847930953543
Prevalence of Hypertensive heart disease,percent,0.19102526306636436
Press freedom ranking,rank,-0.19042092763870228
Starting a Business (Score),Score,-0.19003166258957538
Regulatory quality estimate,score,0.17809670947149547
"Population ages 60-64, male (% of male population)",proportion,0.1712024667315439
"Population ages 65 and above, male (% of male population)",proportion,0.16853490100736612
"Population ages 70-74, male (% of male population)",proportion,0.16717703400980372
"Population ages 40-44, female (% of female population)",proportion,0.16514816715195912
"Labour force participation rate (Female) - Youth, adults: 15-64",percent,-0.1600702897961625
Population density,persons per square kilometer,0.15882414362230982
Unemployment rate (%) - Annual,percent,-0.15783710118209993
"Population ages 20-24, male (% of male population)",proportion,-0.15730907063227828
Population in largest city,proportion,0.15510190623037792
"Population ages 55-59, male (% of male population)",proportion,0.15268509604127553
Summary exposure value tobacco,Rate (risk-weighted prevalence),-0.1520382525953592
Production index: Manufacturing,index,0.15072829322217893
Population ages 65 and above (% of total population),proportion,0.14678516703200428
"Population ages 75-79, male (% of male population)",proportion,0.14213742397730963
"Population ages 50-54, male (% of male population)",proportion,0.1413069313144332
"Population ages 70-74, female (% of female population)",proportion,0.13974333195756306
"Population ages 05-09, male (% of male population)",proportion,-0.13970356430597236
Prevalence of Diabetes,percent,0.13823409545636692
"Population ages 80 and above, male (% of male population)",proportion,0.13775414110301482
Prevalence of anxiety disorders,percent,0.13769022617920396
Urban population,total,0.13339876396773837
Population in urban agglomerations of more than 1 million,proportion,0.13165520622623025
"Population ages 65-69, female (% of female population)",proportion,0.13161478320196635
"Population ages 65 and above, female (% of female population)",proportion,0.1300563463559937
"Population ages 25-29, male (% of male population)",proportion,-0.1298759202853986
"Population ages 0-14, male (% of male population)",proportion,-0.126081538645872
"Population ages 45-49, male (% of male population)",proportion,0.12498644718171173
Mobile cellular subscriptions,per 100 people,-0.12365750374718845
"Population ages 05-09, female (% of female population)",proportion,-0.12197368013011647
"Population ages 75-79, female (% of female population)",proportion,0.12021443111172653
"Population ages 00-04, male (% of male population)",proportion,-0.11866060531072199
Population (% change),percent,-0.11839598428913439
"Population ages 80 and above, female (% of female population)",proportion,0.11551295899788283
"Population ages 10-14, male (% of male population)",proportion,-0.11542812091550934
"Population ages 65 and above, male",proportion,0.11228325854650088
"Population ages 65 and above, total",proportion,0.11218709334970225
"Population ages 65 and above, female",proportion,0.11205272829792347
Political stability and absence of violence/terrorism estimate,score,0.11106684317889091
"Population ages 0-14, female (% of female population)",proportion,-0.10892276602162856
Stock market capitalization (US$ million),US Dollar,0.1082204515273401
Mobile cellular subscriptions,number,0.10771819809262215
"Population ages 00-04, female (% of female population)",proportion,-0.10654791489457782
"Population ages 15-64, female",proportion,0.10224688258074305
"Population ages 15-64, total",proportion,0.1019370858349891
"Population, female",proportion,0.10191741595023975
"Population ages 15-64, male",proportion,0.10163738854369633
"Population, total",total,0.10142806441501603
"Population, male",proportion,0.10095844254545841
"Prevalence of HIV, total (% of population ages 15-49)",percent,-0.10011521717868259
"Population ages 10-14, female (% of female population)",proportion,-0.09335782394563913
"Population ages 25-29, female (% of female population)",proportion,-0.09178686129297048
Press freedom score,score,-0.09136341054437128
"Population ages 0-14, male",proportion,0.09062607010922005
"Population ages 0-14, total",proportion,0.09058332511058635
"Population ages 0-14, female",proportion,0.09052254582485515
Prevalence of chronic kidney disease,percent,-0.08729806409015173
Production index: Industry,index,
Use of IMF credit (DOD),current US$,0.08978459956262923
"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,0.08884645057759163
Rural population growth (annual %),proportion,-0.0848149366615669
Urban population (% of total),percent,0.08446841149816978
Rural population,proportion,0.06401927540106378
Proportion of seats held by women in national parliaments (%),proportion,0.014039650646558531
Proportion of women in managerial positions (%),percent,
Refugee population by country or territory of asylum,proportion,0.0871119234686941
"Literacy rate, adult female (% of females ages 15 and above)",proportion,0.0852325930453965
"Literacy rate, adult total (% of people ages 15 and above)",proportion,0.0852325930453965
"Literacy rate, adult male (% of males ages 15 and above)",proportion,0.08523259304539635
Refugee population by country or territory of origin,proportion,0.06052992388351963
Stock market capitalization (US$ million),percent,
Urban population (% of total),percent of total population,-0.08152313040779745
"Population ages 50-54, female (% of female population)",proportion,0.0736750428636761
"Population ages 55-59, female (% of female population)",proportion,0.07284174348157589
"Population ages 45-49, female (% of female population)",proportion,0.06788520808963444
"Population ages 60-64, female (% of female population)",proportion,0.06772908586042069
"Population ages 20-24, female (% of female population)",proportion,-0.06620303700294462
"Population ages 15-19, male (% of male population)",proportion,-0.06298271037107067
Population growth (annual %),proportion,-0.06055191563102334
Prevalence of Depressive disorders,percent,0.04988870958434697
"Population ages 30-34, male (% of male population)",proportion,-0.04841311887015284
"Population, female (% of total population)",proportion,-0.04667108824373219
"Population, male (% of total population)",proportion,0.04667108824373219
Net migration,net total / data are 5 year estimates,-0.03938736616413161
"Population ages 15-19, female (% of female population)",proportion,-0.03749908587992838
"Population ages 30-34, female (% of female population)",proportion,-0.03149349684164824
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",Percentage of males of the total population,-0.031231361689294607
"Population ages 15-64, male (% of male population)",proportion,0.030864524385509948
"Yield on 90-day treasury bills, percent per annum",percent per annum,0.030166270157698075
Population in the largest city (% of urban population),proportion,-0.02597225827466493
Total investment,percent of GDP,-0.025836644892459522
"Population, mid-year",person,-0.02366165246667863
Volume of imports,percent change,0.022493600017129127
"Lending interest rates, percent per annum",percent per annum,-0.01724327513817669
Volume of exports,percent change,0.017163572138668773
Population ages 15-64 (% of total population),proportion,0.012857512964847854
"Population ages 15-64, female (% of female population)",proportion,0.0012519654619014978
